op_unique_carrier,origin,arr_delay,cancelled,month
MQ,DFW,-10.0,0,4
AA,CLT,-17.0,0,1
9E,CHA,-17.0,0,12
WN,OMA,1.0,0,4
WN,BWI,-1.0,0,2
WN,SAN,-14.0,0,4
G4,MLB,-4.0,0,11
AS,BNA,-27.0,0,8
OO,LAX,-2.0,0,4
OO,SFO,-23.0,0,2
G4,DSM,36.0,0,9
AA,MIA,48.0,0,3
AA,RIC,6.0,0,6
WN,TPA,-27.0,0,10
AA,LAX,-18.0,0,8
UA,FSD,-15.0,0,3
UA,IAD,-24.0,0,7
UA,DEN,-17.0,0,12
DL,ATL,-12.0,0,10
WN,SRQ,-10.0,0,4
OO,DTW,-6.0,0,7
F9,TPA,24.0,0,9
UA,IAH,-16.0,0,11
DL,DFW,-25.0,0,10
AA,DFW,,1,1
OO,ORD,-1.0,0,10
AA,PVD,-31.0,0,2
OO,LAX,43.0,0,9
DL,MSP,-13.0,0,6
WN,MCO,105.0,0,7
WN,HRL,-11.0,0,11
AA,ORD,-11.0,0,9
WN,HOU,78.0,0,12
DL,DTW,6.0,0,5
AA,CLT,-19.0,0,1
MQ,FWA,-10.0,0,7
AS,SEA,8.0,0,3
AA,MIA,-31.0,0,10
F9,PBI,-10.0,0,11
AA,SFO,-34.0,0,2
B6,SAN,37.0,0,3
OO,BFL,-23.0,0,11
UA,LGA,33.0,0,10
WN,SMF,-9.0,0,10
DL,SMF,-13.0,0,1
AS,JNU,-20.0,0,11
AA,RDU,-1.0,0,5
UA,ONT,-12.0,0,4
OO,ATL,-15.0,0,8
AA,DFW,18.0,0,4
OO,GEG,0.0,0,8
UA,ALB,24.0,0,9
AA,DFW,-15.0,0,6
UA,BNA,-18.0,0,1
UA,PHX,-9.0,0,9
F9,SFO,-10.0,0,12
WN,MEM,180.0,0,5
WN,FLL,18.0,0,3
MQ,ABI,-8.0,0,11
DL,SLC,-15.0,0,3
F9,TTN,39.0,0,1
AA,PHX,-11.0,0,5
UA,IND,-17.0,0,8
F9,PWM,-32.0,0,7
OO,DFW,-8.0,0,9
OO,DEN,2.0,0,6
AA,ORD,-23.0,0,10
UA,ORD,-21.0,0,4
DL,SLC,8.0,0,7
DL,SMF,-15.0,0,2
AA,JFK,35.0,0,2
OO,SDF,-9.0,0,7
OO,SFO,-21.0,0,8
AA,SFO,-11.0,0,5
MQ,JAN,-12.0,0,7
UA,DEN,-14.0,0,10
UA,SAN,-2.0,0,5
OH,CLT,42.0,0,12
UA,DEN,-2.0,0,1
B6,BUF,-1.0,0,12
UA,IAD,4.0,0,10
9E,JFK,32.0,0,9
NK,ATL,-13.0,0,1
WN,PHX,12.0,0,9
NK,MCI,-18.0,0,10
NK,ATL,20.0,0,1
NK,LAS,-9.0,0,4
OO,SLC,-6.0,0,10
HA,OGG,-7.0,0,10
AA,DFW,88.0,0,7
OH,MDT,-18.0,0,8
AA,MCO,21.0,0,1
AS,PDX,34.0,0,5
DL,SNA,-40.0,0,12
UA,DRO,-19.0,0,7
AA,MCO,-7.0,0,12
YX,ORD,2.0,0,4
YX,SYR,4.0,0,11
DL,STL,-21.0,0,5
WN,BUR,-7.0,0,10
9E,ATL,2.0,0,3
WN,FLL,-17.0,0,1
OH,DAY,-25.0,0,6
AA,ONT,8.0,0,4
OH,CLT,-16.0,0,10
OO,BNA,-4.0,0,12
OO,GEG,-47.0,0,4
WN,LAS,-9.0,0,11
AA,JFK,38.0,0,8
9E,DAY,39.0,0,12
UA,ORD,-15.0,0,12
YX,LGA,-2.0,0,4
AA,ORD,27.0,0,3
WN,ONT,-9.0,0,4
UA,AUS,-21.0,0,10
OO,PHX,-1.0,0,7
OH,DCA,4.0,0,1
OO,IAD,200.0,0,7
AA,JFK,-27.0,0,9
DL,ATL,5.0,0,6
WN,STL,2.0,0,4
OO,SFO,71.0,0,9
9E,CHO,,1,7
DL,MCO,-7.0,0,2
WN,DAL,-14.0,0,1
UA,SRQ,-6.0,0,4
OO,SEA,-8.0,0,6
AA,ORD,53.0,0,12
AS,ORD,42.0,0,8
OH,PNS,-3.0,0,12
UA,AUS,-14.0,0,11
B6,MSY,-12.0,0,3
DL,ATL,-18.0,0,2
WN,MSP,13.0,0,1
WN,ELP,1.0,0,8
UA,ORD,22.0,0,8
DL,DFW,7.0,0,10
B6,LGA,-11.0,0,7
AA,PHX,2.0,0,12
OH,BHM,-13.0,0,5
OO,SLC,-10.0,0,12
DL,ATL,-11.0,0,10
YX,ACK,-23.0,0,8
WN,HOU,5.0,0,11
AA,DFW,-20.0,0,2
WN,AUS,-15.0,0,3
UA,EWR,-35.0,0,1
9E,JFK,4.0,0,12
YX,ALB,-24.0,0,4
AA,LAS,-4.0,0,1
OO,ONT,-7.0,0,9
OO,MSP,7.0,0,10
F9,ISP,45.0,0,7
UA,MCO,9.0,0,10
DL,ATL,7.0,0,4
AA,CLT,-6.0,0,11
WN,BUF,8.0,0,6
OO,FLG,73.0,0,12
DL,DTW,-18.0,0,11
DL,ATL,-23.0,0,10
YX,DCA,21.0,0,5
YX,LGA,-23.0,0,4
AA,FLL,-3.0,0,9
UA,JAX,8.0,0,3
AS,SEA,16.0,0,6
G4,BNA,120.0,0,2
WN,LAS,-13.0,0,6
AS,KTN,-7.0,0,1
OH,CAE,105.0,0,6
DL,EWR,5.0,0,2
UA,DCA,25.0,0,6
OO,SUN,-15.0,0,12
OO,PIH,-12.0,0,2
AA,DCA,-7.0,0,9
MQ,DFW,11.0,0,4
AA,CLT,-3.0,0,5
YX,BOS,-1.0,0,2
UA,PIT,-17.0,0,1
9E,JFK,-12.0,0,1
B6,LGA,-25.0,0,12
WN,SFO,134.0,0,12
DL,ATL,-16.0,0,8
OH,CAE,-6.0,0,8
DL,JNU,-26.0,0,8
9E,DSM,-20.0,0,12
AA,EWR,6.0,0,12
MQ,CLT,-3.0,0,5
DL,DEN,-21.0,0,8
OO,IAH,2.0,0,2
AA,AUS,-6.0,0,6
WN,DEN,2.0,0,1
OO,SLC,6.0,0,3
YX,JFK,30.0,0,11
OO,LAX,-7.0,0,11
AA,MIA,-9.0,0,2
DL,MSY,-8.0,0,5
UA,FLL,-2.0,0,9
WN,AUS,-13.0,0,10
G4,MLI,-9.0,0,10
NK,LAS,113.0,0,8
AS,SFO,,1,1
UA,IAH,-13.0,0,4
AA,DFW,2.0,0,9
OO,RDM,-4.0,0,7
G4,SRQ,-42.0,0,11
YX,CLE,48.0,0,11
9E,LGA,-23.0,0,2
WN,SRQ,76.0,0,2
WN,ONT,9.0,0,5
YX,BNA,2.0,0,11
YX,BOS,-10.0,0,10
AA,STL,0.0,0,1
WN,LAX,-24.0,0,10
B6,SJU,16.0,0,8
UA,HNL,-7.0,0,4
OO,ORD,-29.0,0,10
DL,ATL,2.0,0,7
UA,DEN,-8.0,0,5
OH,CRW,-9.0,0,6
OO,LGA,-12.0,0,9
WN,SAT,70.0,0,6
WN,HNL,-15.0,0,5
G4,CVG,-9.0,0,10
WN,PHX,-2.0,0,11
WN,LAS,15.0,0,6
DL,ATL,18.0,0,1
UA,DEN,-8.0,0,4
F9,SJU,3.0,0,12
AA,MCO,2.0,0,7
OO,SLC,-15.0,0,1
DL,SLC,7.0,0,6
NK,BWI,-19.0,0,4
DL,MOB,7.0,0,11
AA,JAC,-20.0,0,7
DL,TPA,-5.0,0,5
9E,MCI,14.0,0,1
NK,RNO,12.0,0,5
WN,DAL,-11.0,0,6
OH,DCA,-7.0,0,11
DL,MSP,-14.0,0,4
OO,DEN,-28.0,0,3
DL,JAX,-12.0,0,1
AA,CLT,-11.0,0,2
OO,SLC,0.0,0,5
OH,CLT,-2.0,0,2
AA,PHL,-13.0,0,10
B6,BUF,4.0,0,6
NK,SJU,-1.0,0,10
DL,ATL,-5.0,0,1
WN,OAK,-16.0,0,5
AA,SAT,-3.0,0,3
AA,DFW,-8.0,0,9
OO,ORD,-9.0,0,8
UA,JAX,15.0,0,1
DL,DFW,-9.0,0,7
UA,DSM,-1.0,0,6
WN,ABQ,4.0,0,1
UA,GEG,-23.0,0,10
DL,BOS,26.0,0,12
AA,PHX,-2.0,0,8
DL,ATL,-9.0,0,1
B6,BOS,-7.0,0,5
AS,SEA,49.0,0,4
OO,IAH,9.0,0,7
WN,DAL,,1,2
UA,SEA,-26.0,0,6
OO,DEN,-19.0,0,10
OH,CLT,32.0,0,4
OO,SEA,-24.0,0,9
OH,CLT,165.0,0,7
AA,DCA,21.0,0,8
OO,SEA,-4.0,0,10
OH,CLT,-1.0,0,12
DL,ATL,-15.0,0,1
UA,ORD,-8.0,0,10
NK,ATL,-7.0,0,7
AA,DTW,-9.0,0,12
MQ,DFW,-5.0,0,2
OH,PHL,16.0,0,3
AA,ORD,-1.0,0,5
DL,MSP,120.0,0,3
NK,BWI,-14.0,0,7
DL,MDW,93.0,0,8
DL,SFO,5.0,0,6
AA,PHX,60.0,0,12
WN,VPS,-13.0,0,6
AS,SEA,-18.0,0,1
OO,SBP,1.0,0,5
WN,AUS,-12.0,0,6
AA,DFW,-6.0,0,4
WN,SMF,-16.0,0,6
WN,SAN,5.0,0,5
WN,BOS,,0,7
OO,PSC,8.0,0,11
DL,GSP,-28.0,0,6
UA,LAX,8.0,0,8
OO,MBS,357.0,0,6
F9,MCO,22.0,0,8
DL,IND,3.0,0,11
WN,HRL,-25.0,0,10
NK,LAS,-13.0,0,8
B6,BOS,8.0,0,11
AA,LAX,22.0,0,11
OO,BUR,55.0,0,12
OO,MSP,1.0,0,3
WN,PHX,-18.0,0,10
NK,ORD,43.0,0,8
AA,DFW,5.0,0,9
WN,DCA,-8.0,0,10
OO,LAX,-16.0,0,7
WN,OMA,31.0,0,7
MQ,MIA,-9.0,0,10
WN,DAL,4.0,0,3
UA,CHS,115.0,0,1
WN,LAS,0.0,0,9
DL,ATL,-10.0,0,11
AA,DFW,5.0,0,3
DL,PIT,7.0,0,3
WN,KOA,-29.0,0,3
DL,ATL,-17.0,0,8
AS,PDX,1.0,0,12
WN,PHX,-10.0,0,8
UA,ORD,-15.0,0,9
AA,JFK,20.0,0,8
G4,SRQ,22.0,0,6
AA,FLL,13.0,0,3
UA,ORD,-17.0,0,9
YX,EWR,-30.0,0,9
UA,DEN,-14.0,0,7
MQ,PHX,-7.0,0,6
DL,ATL,11.0,0,11
AA,BUF,-3.0,0,1
UA,ORD,-2.0,0,11
AA,DFW,,1,5
DL,DCA,-18.0,0,12
WN,BWI,10.0,0,4
YX,EYW,6.0,0,11
AS,SJC,-18.0,0,5
UA,SFO,4.0,0,9
WN,BWI,119.0,0,5
NK,FLL,-3.0,0,12
DL,MSP,-17.0,0,10
AA,DFW,5.0,0,9
AS,BOS,-22.0,0,9
DL,PHX,46.0,0,12
WN,MDW,,1,1
AS,SEA,-17.0,0,11
WN,SNA,-15.0,0,12
AA,MSP,127.0,0,6
DL,SLC,-14.0,0,2
OO,BOI,6.0,0,7
OO,GEG,-8.0,0,1
WN,FLL,64.0,0,1
NK,DFW,18.0,0,4
NK,MCO,91.0,0,3
WN,LGB,-13.0,0,3
OO,ORD,-1.0,0,6
F9,PHL,2.0,0,11
AA,PHX,-14.0,0,7
NK,CLT,34.0,0,8
DL,ATL,19.0,0,1
WN,ABQ,13.0,0,11
OO,ELP,-11.0,0,11
AA,DFW,34.0,0,8
AA,DCA,-11.0,0,10
DL,LGA,-10.0,0,8
OO,MFR,-8.0,0,3
UA,DEN,-8.0,0,10
UA,DEN,-7.0,0,11
YX,JFK,-44.0,0,3
AA,LGA,-7.0,0,5
OO,LAX,-9.0,0,9
AS,EUG,9.0,0,9
OO,SLC,2.0,0,3
UA,EWR,-15.0,0,4
WN,AUS,-14.0,0,12
UA,GRR,20.0,0,5
WN,DAL,-6.0,0,9
B6,JFK,-46.0,0,10
NK,LAS,-29.0,0,9
OH,BDL,-27.0,0,4
F9,ATL,-11.0,0,8
9E,ORF,-22.0,0,6
DL,MSP,-27.0,0,4
DL,MCO,102.0,0,7
UA,EWR,32.0,0,3
F9,PBI,-16.0,0,10
UA,DEN,-21.0,0,10
WN,MKE,-6.0,0,6
WN,ATL,27.0,0,5
AA,JFK,-78.0,0,3
DL,ATL,83.0,0,8
WN,FLL,8.0,0,1
DL,ATL,-15.0,0,5
UA,PHL,0.0,0,12
9E,LGA,-10.0,0,9
MQ,AUS,-5.0,0,1
G4,FLL,40.0,0,7
G4,SRQ,-34.0,0,12
OO,RAP,4.0,0,8
9E,DTW,10.0,0,1
OO,LAX,89.0,0,1
AA,DFW,-23.0,0,1
DL,DCA,-17.0,0,7
UA,LAS,-14.0,0,10
WN,LAS,34.0,0,4
WN,TPA,-10.0,0,3
AA,CLT,-1.0,0,9
DL,ATL,0.0,0,5
DL,MIA,-16.0,0,8
DL,JFK,17.0,0,9
WN,MSY,,1,4
UA,EWR,-6.0,0,12
WN,PDX,-8.0,0,5
OO,DEN,51.0,0,6
WN,TPA,-18.0,0,4
OH,ORF,-14.0,0,4
F9,FSD,87.0,0,7
DL,DTW,-2.0,0,1
NK,CMH,-19.0,0,12
UA,CLE,-6.0,0,5
YX,GSP,-19.0,0,8
WN,MDW,,0,7
G4,PGD,-33.0,0,6
WN,HNL,-2.0,0,12
AA,PHX,213.0,0,6
OO,IAH,-15.0,0,3
AA,PDX,420.0,0,1
AS,JFK,7.0,0,11
WN,MCI,-19.0,0,1
OO,SAN,73.0,0,11
AA,SAT,-11.0,0,4
DL,MCO,-16.0,0,12
UA,LAS,25.0,0,10
OH,TYS,72.0,0,7
B6,JFK,-32.0,0,12
AS,SFO,-27.0,0,7
AA,LGA,-24.0,0,7
MQ,DFW,53.0,0,11
OO,SBN,-1.0,0,3
WN,DCA,-15.0,0,9
YX,BOS,84.0,0,8
AS,OGG,-33.0,0,9
AA,BUF,47.0,0,7
WN,MSY,7.0,0,8
MQ,CID,-23.0,0,4
WN,OAK,6.0,0,1
WN,RIC,-5.0,0,7
9E,SHV,-8.0,0,8
9E,CVG,-20.0,0,8
OO,LAX,-1.0,0,4
UA,IAH,-22.0,0,9
WN,LAS,6.0,0,6
MQ,JAN,86.0,0,1
AS,OAK,-34.0,0,10
WN,OAK,-22.0,0,4
OO,PDX,8.0,0,4
WN,MDW,-10.0,0,12
WN,LAX,157.0,0,7
DL,CMH,-21.0,0,7
WN,AUS,-5.0,0,5
AA,LAX,-7.0,0,6
YX,ORD,0.0,0,3
WN,SNA,-5.0,0,10
MQ,ORD,-7.0,0,9
DL,SAN,-9.0,0,11
AA,JAX,84.0,0,3
AA,DFW,-10.0,0,4
DL,FLL,4.0,0,2
UA,BWI,-14.0,0,7
OH,SDF,55.0,0,6
NK,LAS,-21.0,0,11
MQ,ORD,71.0,0,7
UA,BOS,-7.0,0,5
WN,RDU,9.0,0,9
WN,STL,-13.0,0,7
9E,LGA,-24.0,0,3
