origin,month,dep_delay,arr_delay,cancelled,cancellation_code,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
DFW,4,-3.0,-10.0,0,N,0,0,0,0,0
CLT,1,-4.0,-17.0,0,N,0,0,0,0,0
CHA,12,-8.0,-17.0,0,N,0,0,0,0,0
OMA,4,4.0,1.0,0,N,0,0,0,0,0
BWI,2,-7.0,-1.0,0,N,0,0,0,0,0
SAN,4,-7.0,-14.0,0,N,0,0,0,0,0
MLB,11,-9.0,-4.0,0,N,0,0,0,0,0
BNA,8,-5.0,-27.0,0,N,0,0,0,0,0
LAX,4,-6.0,-2.0,0,N,0,0,0,0,0
SFO,2,-8.0,-23.0,0,N,0,0,0,0,0
DSM,9,47.0,36.0,0,N,0,0,0,0,36
MIA,3,36.0,48.0,0,N,19,0,12,0,17
RIC,6,4.0,6.0,0,N,0,0,0,0,0
TPA,10,-14.0,-27.0,0,N,0,0,0,0,0
LAX,8,-2.0,-18.0,0,N,0,0,0,0,0
FSD,3,-6.0,-15.0,0,N,0,0,0,0,0
IAD,7,2.0,-24.0,0,N,0,0,0,0,0
DEN,12,-6.0,-17.0,0,N,0,0,0,0,0
ATL,10,-3.0,-12.0,0,N,0,0,0,0,0
SRQ,4,-4.0,-10.0,0,N,0,0,0,0,0
DTW,7,-5.0,-6.0,0,N,0,0,0,0,0
TPA,9,12.0,24.0,0,N,12,0,12,0,0
IAH,11,-5.0,-16.0,0,N,0,0,0,0,0
DFW,10,-4.0,-25.0,0,N,0,0,0,0,0
DFW,1,,,1,B,0,0,0,0,0
ORD,10,-7.0,-1.0,0,N,0,0,0,0,0
PVD,2,-7.0,-31.0,0,N,0,0,0,0,0
LAX,9,49.0,43.0,0,N,43,0,0,0,0
MSP,6,-4.0,-13.0,0,N,0,0,0,0,0
MCO,7,135.0,105.0,0,N,0,105,0,0,0
HRL,11,0.0,-11.0,0,N,0,0,0,0,0
ORD,9,-5.0,-11.0,0,N,0,0,0,0,0
HOU,12,83.0,78.0,0,N,14,0,0,0,64
DTW,5,3.0,6.0,0,N,0,0,0,0,0
CLT,1,15.0,-19.0,0,N,0,0,0,0,0
FWA,7,-7.0,-10.0,0,N,0,0,0,0,0
SEA,3,13.0,8.0,0,N,0,0,0,0,0
MIA,10,-5.0,-31.0,0,N,0,0,0,0,0
PBI,11,-6.0,-10.0,0,N,0,0,0,0,0
SFO,2,-4.0,-34.0,0,N,0,0,0,0,0
SAN,3,13.0,37.0,0,N,13,0,24,0,0
BFL,11,-8.0,-23.0,0,N,0,0,0,0,0
LGA,10,-4.0,33.0,0,N,0,0,33,0,0
SMF,10,-1.0,-9.0,0,N,0,0,0,0,0
SMF,1,-3.0,-13.0,0,N,0,0,0,0,0
JNU,11,-5.0,-20.0,0,N,0,0,0,0,0
RDU,5,4.0,-1.0,0,N,0,0,0,0,0
ONT,4,0.0,-12.0,0,N,0,0,0,0,0
ATL,8,-6.0,-15.0,0,N,0,0,0,0,0
DFW,4,30.0,18.0,0,N,0,0,0,0,18
GEG,8,-9.0,0.0,0,N,0,0,0,0,0
ALB,9,-7.0,24.0,0,N,0,0,24,0,0
DFW,6,0.0,-15.0,0,N,0,0,0,0,0
BNA,1,-14.0,-18.0,0,N,0,0,0,0,0
PHX,9,21.0,-9.0,0,N,0,0,0,0,0
SFO,12,-10.0,-10.0,0,N,0,0,0,0,0
MEM,5,195.0,180.0,0,N,4,0,0,0,176
FLL,3,23.0,18.0,0,N,2,0,0,0,16
ABI,11,-10.0,-8.0,0,N,0,0,0,0,0
SLC,3,-1.0,-15.0,0,N,0,0,0,0,0
TTN,1,57.0,39.0,0,N,0,0,0,0,39
PHX,5,4.0,-11.0,0,N,0,0,0,0,0
IND,8,0.0,-17.0,0,N,0,0,0,0,0
PWM,7,-18.0,-32.0,0,N,0,0,0,0,0
DFW,9,-5.0,-8.0,0,N,0,0,0,0,0
DEN,6,-10.0,2.0,0,N,0,0,0,0,0
ORD,10,-4.0,-23.0,0,N,0,0,0,0,0
ORD,4,-4.0,-21.0,0,N,0,0,0,0,0
SLC,7,7.0,8.0,0,N,0,0,0,0,0
SMF,2,-4.0,-15.0,0,N,0,0,0,0,0
JFK,2,37.0,35.0,0,N,35,0,0,0,0
SDF,7,-8.0,-9.0,0,N,0,0,0,0,0
SFO,8,-8.0,-21.0,0,N,0,0,0,0,0
SFO,5,-5.0,-11.0,0,N,0,0,0,0,0
JAN,7,-4.0,-12.0,0,N,0,0,0,0,0
DEN,10,-8.0,-14.0,0,N,0,0,0,0,0
SAN,5,-6.0,-2.0,0,N,0,0,0,0,0
CLT,12,56.0,42.0,0,N,0,11,0,0,31
DEN,1,-3.0,-2.0,0,N,0,0,0,0,0
BUF,12,13.0,-1.0,0,N,0,0,0,0,0
IAD,10,5.0,4.0,0,N,0,0,0,0,0
JFK,9,44.0,32.0,0,N,32,0,0,0,0
ATL,1,0.0,-13.0,0,N,0,0,0,0,0
PHX,9,28.0,12.0,0,N,0,0,0,0,0
MCI,10,-4.0,-18.0,0,N,0,0,0,0,0
ATL,1,40.0,20.0,0,N,0,20,0,0,0
LAS,4,-5.0,-9.0,0,N,0,0,0,0,0
SLC,10,0.0,-6.0,0,N,0,0,0,0,0
OGG,10,-5.0,-7.0,0,N,0,0,0,0,0
DFW,7,89.0,88.0,0,N,0,0,0,0,88
